CODIGO,NOMBRE,CREDITOS,SEMESTRE,CODIGO_PRERREQUISITO,TIPO
0204,Circuitos Eléctricos 1,7,1,0112,OBLIGATORIO
0204,Circuitos Eléctricos 1,7,1,0114,OBLIGATORIO
0204,Circuitos Eléctricos 1,7,1,0152,OBLIGATORIO
0462,Electricidad y Electrónica Básica,6,1,0152,OBLIGATORIO
0734,Estadística 2,5,1,0732,OPCIONAL
0156,Física 4,6,1,0154,OBLIGATORIO
0206,Circuitos Eléctricos 2,7,1,0118,OBLIGATORIO
0206,Circuitos Eléctricos 2,7,1,0123,OBLIGATORIO
0206,Circuitos Eléctricos 2,7,1,0204,OBLIGATORIO
0210,Teoría Electromagnética 1,6,1,0118,OBLIGATORIO
0210,Teoría Electromagnética 1,6,1,0123,OBLIGATORIO
0210,Teoría Electromagnética 1,6,1,0154,OBLIGATORIO
0232,Electrónica 1,6,1,0204,OBLIGATORIO
0232,Electrónica 1,6,1,0462,OBLIGATORIO
0736,Análisis Probabilístico,5,1,0732,OBLIGATORIO
0022,Psicología Industrial,3,1,0732,OPCIONAL
0120,Matemática Aplicada 2,5,1,0118,OPCIONAL
0653,Ingeniería de Costos,4,1,0732,OPCIONAL
0662,Legislación 1,3,1,0019,OPCIONAL
0001,Ética Profesional,2,1,0019,OBLIGATORIO
0230,Instrumentación Eléctrica,7,1,0206,OBLIGATORIO
0230,Instrumentación Eléctrica,7,1,0732,OBLIGATORIO
0240,Electrónica 2,6,1,0156,OBLIGATORIO
0240,Electrónica 2,6,1,0206,OBLIGATORIO
0240,Electrónica 2,6,1,0232,OBLIGATORIO
0242,Comunicaciones 1,6,1,0210,OBLIGATORIO
0242,Comunicaciones 1,6,1,0232,OBLIGATORIO
0242,Comunicaciones 1,6,1,0206,OBLIGATORIO
0242,Comunicaciones 1,6,1,0736,OBLIGATORIO
0246,Electrónica 3,6,1,0232,OBLIGATORIO
2036,Prácticas Intermedias,0,1,2025,OBLIGATORIO
2036,Prácticas Intermedias,0,1,0232,OBLIGATORIO
2036,Prácticas Intermedias,0,1,0210,OBLIGATORIO
2036,Prácticas Intermedias,0,1,0206,OBLIGATORIO
0116,Matemática Aplicada 3,5,1,0112,OPCIONAL
0116,Matemática Aplicada 3,5,1,0114,OPCIONAL
0212,Conversión de Energía Electromecánica 1,7,1,0204,OPCIONAL
0212,Conversión de Energía Electromecánica 1,7,1,0210,OPCIONAL
0659,Administración de Recursos Humanos,6,1,0022,OPCIONAL
0211,Teoría Electromagnética 2,5,1,0210,OBLIGATORIO
0234,Electrónica 4,6,1,0240,OBLIGATORIO
0244,Comunicaciones 2,6,1,0242,OBLIGATORIO
0248,Electrónica 5,6,1,0246,OBLIGATORIO
0980,Proyectos de Computación Aplicada a I.E.,5,1,0991,OBLIGATORIO
0980,Proyectos de Computación Aplicada a I.E.,5,1,0246,OBLIGATORIO
0122,Matemática Aplicada 4,5,1,0118,OPCIONAL
0218,Líneas de Transmisión,5,1,0204,OPCIONAL
0218,Líneas de Transmisión,5,1,0210,OPCIONAL
0672,Fundamentos de Administración,4,1,2036,OPCIONAL
0672,Fundamentos de Administración,4,1,0005,OPCIONAL
0700,Ingeniería Económica 1,4,1,0732,OPCIONAL
0233,Electrónica Aplicada 1,4,1,0234,OBLIGATORIO
0233,Electrónica Aplicada 1,4,1,0248,OBLIGATORIO
0236,Sistemas de Control 1,5,1,0232,OBLIGATORIO
0241,Radiocomunicaciones Terrestres,5,1,0211,OBLIGATORIO
0245,Comunicaciones 3,6,1,0244,OBLIGATORIO
0249,Electrónica 6,6,1,0248,OBLIGATORIO
2013,Prácticas Finales Ingeniería Electrónica,0,1,2036,OBLIGATORIO
7913,Seminario de Investigación Electrónica,3,1,0244,OBLIGATORIO
7913,Seminario de Investigación Electrónica,3,1,0980,OBLIGATORIO
0214,Máquinas Eléctricas,7,1,0206,OPCIONAL
0214,Máquinas Eléctricas,7,1,0212,OPCIONAL
0601,Investigación de Operaciones I,6,1,0991,OPCIONAL
0706,Preparación y Evaluación de Proyectos 1,5,1,0700,OPCIONAL
7988,Seminario de Investigación E.P.S. Electrónica,3,1,0244,OPCIONAL
7988,Seminario de Investigación E.P.S. Electrónica,3,1,0980,OPCIONAL
0209,Instalación de Equipos Electrónicos,6,1,0249,OBLIGATORIO
0235,Robótica,7,1,0249,OBLIGATORIO
0239,Electrónica Aplicada 2,4,1,0249,OBLIGATORIO
0239,Electrónica Aplicada 2,4,1,0233,OBLIGATORIO
0243,Comunicaciones 4,6,1,0245,OBLIGATORIO
0969,Telecomunicaciones y Redes Locales,6,1,0244,OBLIGATORIO
0237,Sistemas de Control 2,5,1,0236,OPCIONAL
0238,Automatización Industrial,6,1,0214,OPCIONAL
0288,Introducción al Estudio de Impacto Ambiental,4,1,0241,OPCIONAL
