codigo,curso,seccion,modalidad,edificio,salon,inicio,final,dias,catedratico,auxiliar,detalle
0250,MECANICA DE FLUIDOS,11,PRESENCIAL,T-5,LFLUIDOS,13:10,14:00,JU,LUIS EDUARDO PORTILLO ESPAÑA,SIN AUXILIAR,Sin restricciones
0300,RESISTENCIA DE MATERIALES 1,11,PRESENCIAL,T-5,CII,15:40,17:20,MA,LUIS MARIANO ALVAREZ MURALLES,SIN AUXILIAR,Sin restricciones
0250,MECANICA DE FLUIDOS,12,PRESENCIAL,T-5,LFLUIDOS,14:00,14:50,JU,LUIS EDUARDO PORTILLO ESPAÑA,SIN AUXILIAR,Sin restricciones
0300,RESISTENCIA DE MATERIALES 1,12,PRESENCIAL,T-5,CII,17:20,19:00,MA,LUIS MARIANO ALVAREZ MURALLES,SIN AUXILIAR,Sin restricciones
0250,MECANICA DE FLUIDOS,13,PRESENCIAL,T-5,LFLUIDOS,17:20,18:10,JU,LUIS MANUEL SANDOVAL MENDOZA,SIN AUXILIAR,Sin restricciones
0300,RESISTENCIA DE MATERIALES 1,13,PRESENCIAL,T-5,CII,17:20,19:00,MI,LUIS MARIANO ALVAREZ MURALLES,SIN AUXILIAR,Sin restricciones
0300,RESISTENCIA DE MATERIALES 1,14,PRESENCIAL,T-5,CII,15:40,17:20,JU,LUIS MARIANO ALVAREZ MURALLES,SIN AUXILIAR,Sin restricciones
0300,RESISTENCIA DE MATERIALES 1,15,PRESENCIAL,T-5,CII,17:20,19:00,JU,LUIS MARIANO ALVAREZ MURALLES,SIN AUXILIAR,Sin restricciones
0252,HIDRAULICA,_2,PRESENCIAL,T-5,LAB-HIDR,10:40,12:20,MA,LUIS MANUEL SANDOVAL MENDOZA,LEILY JAMILETH BARILLAS MAZARIEGOS,Sin restricciones
0458,MECANICA DE SUELOS 1,_2,PRESENCIAL,T-5,CII,15:40,17:20,MA,MIGDALIA AZUCENA DEL CID,EMILY WALESKA PATZÁN DE LA CRUZ,Sin restricciones
0300,RESISTENCIA DE MATERIALES 1,2,PRESENCIAL,T-5,CII,14:00,15:40,MA,DARIO FRANCISCO LUCAS MAZARIEGOS,SIN AUXILIAR,Sin restricciones
0302,RESISTENCIA DE MATERIALES 2,2,PRESENCIAL,T-5,CII,13:10,14:00,JU,OMAR ENRIQUE MEDRANO MENDEZ,SIN AUXILIAR,Sin restricciones
0453,MATERIALES DE CONSTRUCCION 1,2,PRESENCIAL,T-5,CII,17:20,19:00,LU,MIGDALIA AZUCENA DEL CID,ABNER ADIEL BAC QUISQUE,Sin restricciones
0080,TOPOGRAFIA 1,2,PRESENCIAL,S-11,104-DIB,07:10,09:40,SA,NICOLAS DE JESUS GUZMAN SAENZ,SIN AUXILIAR,Sin restricciones
0082,TOPOGRAFIA 2,2,PRESENCIAL,S-11,105-DIB,07:10,09:40,SA,MARIO ESTUARDO ARRIOLA AVILA,SIN AUXILIAR,Sin restricciones
0252,HIDRAULICA,_3,PRESENCIAL,T-5,LAB-HIDR,15:40,17:20,JU,LUIS EDUARDO PORTILLO ESPAÑA,SIN AUXILIAR,Sin restricciones
0458,MECANICA DE SUELOS 1,_3,PRESENCIAL,T-5,CII,14:00,15:40,JU,OMAR ENRIQUE MEDRANO MENDEZ,SIN AUXILIAR,Sin restricciones
0300,RESISTENCIA DE MATERIALES 1,3,PRESENCIAL,T-5,CII,15:40,17:20,MA,LUIS MARIANO ALVAREZ MURALLES,SIN AUXILIAR,Sin restricciones
0302,RESISTENCIA DE MATERIALES 2,3,PRESENCIAL,T-3,215,15:40,16:30,MA,OMAR ENRIQUE MEDRANO MENDEZ,SIN AUXILIAR,Sin restricciones
0455,MATERIALES DE CONSTRUCCION 2,3,PRESENCIAL,T-5,CII,07:10,08:50,JU,MIGDALIA AZUCENA DEL CID,ABNER ADIEL BAC QUISQUE,Sin restricciones
0080,TOPOGRAFIA 1,3,PRESENCIAL,S-11,104-DIB,09:40,12:10,SA,MARIO ESTUARDO ARRIOLA AVILA,SIN AUXILIAR,Sin restricciones
0082,TOPOGRAFIA 2,3,PRESENCIAL,S-11,105-DIB,09:40,12:10,SA,MARIO ESTUARDO ARRIOLA AVILA,SIN AUXILIAR,Sin restricciones
0252,HIDRAULICA,_4,PRESENCIAL,T-5,LAB-HIDR,18:10,19:50,JU,LUIS MANUEL SANDOVAL MENDOZA,SIN AUXILIAR,Sin restricciones
0458,MECANICA DE SUELOS 1,_4,PRESENCIAL,T-5,CII,15:40,17:20,JU,MIGDALIA AZUCENA DEL CID,EMILY WALESKA PATZÁN DE LA CRUZ,Sin restricciones
0300,RESISTENCIA DE MATERIALES 1,4,PRESENCIAL,T-5,CII,17:20,19:00,MA,LUIS MARIANO ALVAREZ MURALLES,SIN AUXILIAR,Sin restricciones
0302,RESISTENCIA DE MATERIALES 2,4,PRESENCIAL,T-3,215,15:40,16:30,JU,OMAR ENRIQUE MEDRANO MENDEZ,SIN AUXILIAR,Sin restricciones
0453,MATERIALES DE CONSTRUCCION 1,4,PRESENCIAL,T-5,CII,14:50,16:30,MI,DILMA YANET MEJICANOS JOL,ABNER ADIEL BAC QUISQUE,Sin restricciones
0082,TOPOGRAFIA 2,4,PRESENCIAL,T-3,213,07:10,12:20,JU,ESTUARDO AUGUSTO GARRIDO CHINCHILLA,SIN AUXILIAR,Sin restricciones
0300,RESISTENCIA DE MATERIALES 1,5,PRESENCIAL,T-5,CII,17:20,19:00,MI,LUIS MARIANO ALVAREZ MURALLES,SIN AUXILIAR,Sin restricciones
0302,RESISTENCIA DE MATERIALES 2,5,PRESENCIAL,T-3,212,16:30,17:20,MA,OMAR ENRIQUE MEDRANO MENDEZ,SIN AUXILIAR,Sin restricciones
0453,MATERIALES DE CONSTRUCCION 1,5,PRESENCIAL,T-5,CII,07:10,08:50,MA,MIGDALIA AZUCENA DEL CID,ABNER ADIEL BAC QUISQUE,Sin restricciones
0080,TOPOGRAFIA 1,5,PRESENCIAL,T-3,402,07:10,08:50,SA,JORGE ALEJANDRO AREVALO VALDEZ,DIANA GABRIELA XITUMUL MEJIA,Sin restricciones
0082,TOPOGRAFIA 2,5,PRESENCIAL,T-3,214,07:10,12:10,SA,BRYAN ALEJANDRO CASTAÑON MARTINEZ,SIN AUXILIAR,Sin restricciones
0300,RESISTENCIA DE MATERIALES 1,6,PRESENCIAL,T-5,CII,12:20,14:00,JU,DARIO FRANCISCO LUCAS MAZARIEGOS,JUAN MANUEL CHAVAJAY SOSA,Sin restricciones
0302,RESISTENCIA DE MATERIALES 2,6,PRESENCIAL,T-3,214,16:30,17:20,JU,OMAR ENRIQUE MEDRANO MENDEZ,SIN AUXILIAR,Sin restricciones
0455,MATERIALES DE CONSTRUCCION 2,6,PRESENCIAL,T-5,CII,14:50,16:30,VI,DILMA YANET MEJICANOS JOL,ABNER ADIEL BAC QUISQUE,Sin restricciones
0080,TOPOGRAFIA 1,6+,PRESENCIAL,T-3,211,13:00,14:40,SA,FERNANDO AMILCAR BOITON VELASQUEZ,SIN AUXILIAR,Ver Restricciones
0080,TOPOGRAFIA 1,6-,PRESENCIAL,T-3,212,13:00,14:40,SA,LUIS MARTINOLY GODINEZ OROZCO,SIN AUXILIAR,Sin restricciones
0300,RESISTENCIA DE MATERIALES 1,7,PRESENCIAL,T-5,CII,14:00,15:40,JU,DARIO FRANCISCO LUCAS MAZARIEGOS,JUAN MANUEL CHAVAJAY SOSA,Sin restricciones
0300,RESISTENCIA DE MATERIALES 1,8,PRESENCIAL,T-5,CII,15:40,17:20,JU,LUIS MARIANO ALVAREZ MURALLES,SIN AUXILIAR,Sin restricciones
0300,RESISTENCIA DE MATERIALES 1,9,PRESENCIAL,T-5,CII,17:20,19:00,JU,LUIS MARIANO ALVAREZ MURALLES,SIN AUXILIAR,Sin restricciones
0236,SISTEMAS DE CONTROL 1,.A,PRESENCIAL,T-1,LABSISC,10:40,11:30,LU,MIGUEL VENTURA PEREZ,SIN AUXILIAR,Sin restricciones
0246,ELECTRONICA 3,.A,PRESENCIAL,T-1,LAB-ELEC,15:40,16:30,LU,HILDA FABIOLA ESPAÑA GIRÓN,SIN AUXILIAR,Sin restricciones
0522,PROCESOS DE MANUFACTURA 2,.A,PRESENCIAL,T-7,CNC,14:00,15:40,LU,VICTOR MANUEL RUIZ HERNANDEZ,SIN AUXILIAR,Sin restricciones
0080,TOPOGRAFIA 1,_A,SEMIPRESENCIAL,MEET,VIRTUAL,07:10,08:50,JU,JONATHAN ALEXANDER AJBAL CHEGUEN,SIN AUXILIAR,Sin restricciones
0084,TOPOGRAFIA 3,_A,SEMIPRESENCIAL,MEET,VIRTUAL,07:10,11:20,SA,FERNANDO AMILCAR BOITON VELASQUEZ,SIN AUXILIAR,Sin restricciones
0200,INGENIERIA ELECTRICA 1,_A,PRESENCIAL,T-1,LAB ELEC,10:40,12:20,LU,ANA MARÍA NAVARRO  OROZCO,SIN AUXILIAR,Sin restricciones
0202,INGENIERIA ELECTRICA 2,_A,PRESENCIAL,T-3,410,09:00,10:40,MA,EDGAR YANUARIO LAJ HUN,SIN AUXILIAR,Sin restricciones
0204,CIRCUITOS ELECTRICOS 1,_A,PRESENCIAL,T-1,LAB-CIRC,17:20,19:00,LU,JULIO ROLANDO BARRIOS ARCHILA,SIN AUXILIAR,Sin restricciones
0206,CIRCUITOS ELECTRICOS 2,_A,PRESENCIAL,T-1,LAB-CIRC,13:10,14:50,MA,JORGE MARIO SITAVI COS,SIN AUXILIAR,Sin restricciones
0208,INSTALACIONES ELECTRICAS,_A,PRESENCIAL,T-1,LAB-INST,08:50,10:30,SA,CARLOS ALBERTO NAVARRO FUENTES,SIN AUXILIAR,Sin restricciones
0210,TEORIA ELECTROMAGNETICA 1,_A,SEMIPRESENCIAL,MEET,VIRTUAL,16:30,18:10,VI,MATILDE LUCRECIA MARTINEZ AGUIRRE,SIN AUXILIAR,Sin restricciones
0212,CONVERSION DE ENERGIA ELECTROMECANICA 1,_A,PRESENCIAL,T-1,LAB ELEC,08:00,09:40,SA,CARLOS ENRIQUE GÓMEZ DONIS,SIN AUXILIAR,Sin restricciones
0230,INSTRUMENTACION ELECTRICA,_A,PRESENCIAL,T-1,LAB-ELEC,13:10,14:50,LU,OTTO FERNANDO ANDRINO GONZALEZ,SIN AUXILIAR,Sin restricciones
0232,ELECTRONICA  1,_A,PRESENCIAL,T-1,LAB-ELEC,14:50,15:40,JU,CARLOS EDUARDO GUZMAN SALAZAR,SIN AUXILIAR,Sin restricciones
0235,ROBOTICA,_A,PRESENCIAL,T-1,LAB ELEC,18:10,19:00,MA,RONALD ESTUARDO ALVAREZ GONZÁLEZ,SIN AUXILIAR,Sin restricciones
0236,SISTEMAS DE CONTROL 1,_A,PRESENCIAL,T-1,LABSISC,18:10,19:00,JU,HUGO LEONEL TIUL VALENZUELA,SIN AUXILIAR,Sin restricciones
0240,ELECTRONICA 2,_A,PRESENCIAL,T-1,LAB-ELEC,14:00,14:50,LU,HUGO LEONEL TIUL VALENZUELA,SIN AUXILIAR,Sin restricciones
0242,COMUNICACIONES 1,_A,PRESENCIAL,T-1,LAB-ELEC,16:30,17:20,LU,HILDA FABIOLA ESPAÑA GIRÓN,SIN AUXILIAR,Sin restricciones
0243,COMUNICACIONES 4,_A,PRESENCIAL,T-1,LAB-ELEC,19:50,20:40,JU,GUILLERMO ANTONIO PUENTE ROMERO,SIN AUXILIAR,Sin restricciones
0244,COMUNICACIONES 2,_A,PRESENCIAL,T-1,LAB-ELEC,14:00,14:50,MI,JORGE MARIO SITAVI COS,SIN AUXILIAR,Sin restricciones
0245,COMUNICACIONES 3,_A,PRESENCIAL,T-1,LAB-ELEC,16:30,17:20,JU,CHRISTIAN ANTONIO ORELLANA LÓPEZ,SIN AUXILIAR,Sin restricciones
0246,ELECTRONICA 3,_A,PRESENCIAL,T-1,LAB-ELEC,11:30,12:20,LU,MIGUEL VENTURA PEREZ,SIN AUXILIAR,Sin restricciones
0248,ELECTRONICA 5,_A,PRESENCIAL,T-1,LAB-ELEC,12:20,13:10,LU,MIGUEL VENTURA PEREZ,SIN AUXILIAR,Sin restricciones
0249,ELECTRONICA 6,_A,PRESENCIAL,T-1,LAB-ELEC,17:20,18:10,LU,HILDA FABIOLA ESPAÑA GIRÓN,SIN AUXILIAR,Sin restricciones
0258,MAQUINAS HIDRAULICAS,_A,PRESENCIAL,T-7,LAB-MEC,12:20,14:00,LU,HERBERT SAMUEL FIGUEROA AVENDAÑO,SIN AUXILIAR,Sin restricciones
0354,QUIMICA 3,_A,PRESENCIAL,T-5,LAB-Q2,13:10,15:40,LU,MERCEDES ESTHER ROQUEL CHAVEZ,JOSE ALBERTO MEDINA CALGUA,Sin restricciones
0356,QUIMICA 4,_A,PRESENCIAL,T-5,LAB-Q2,15:40,18:10,VI,CINTHYA PATRICIA ORTIZ QUIROA,SIN AUXILIAR,Sin restricciones
0358,QUIMICA ORGANICA 1,_A,PRESENCIAL,T-5,LAB-Q2,09:50,12:20,MA,ERWIN MANUEL ORTIZ CASTILLO,SIN AUXILIAR,Sin restricciones
0361,BIOQUIMICA 1,_A,PRESENCIAL,T-5,LAB-Q1,13:10,15:40,LU,ERWIN MANUEL ORTIZ CASTILLO,SIN AUXILIAR,Sin restricciones
0362,ANALISIS CUALITATIVO,_A,PRESENCIAL,T-5,LAB-Q2,07:10,09:50,MA,MERCEDES ESTHER ROQUEL CHAVEZ,KENNETH ABDIEL VELASQUEZ ESCOBAR,Sin restricciones
0440,MICROBIOLOGIA,_A,PRESENCIAL,T-5,LAB-MIC,08:00,11:30,MA,PABLO ENRIQUE MORALES PANIAGUA,SIN AUXILIAR,Sin restricciones
0462,ELECTRICIDAD Y ELECTRONICA BASICA,_A,PRESENCIAL,T-1,LAB EEB,10:40,12:20,LU,MARIO ALBERTO REYES CALDERÓN,SIN AUXILIAR,Sin restricciones
0504,MOTORES DE COMBUSTION INTERNA,_A,PRESENCIAL,T-7,LAB-MEC,18:10,19:50,MA,BYRON GIOVANNI PALACIOS COLINDRES,SIN AUXILIAR,Sin restricciones
0510,INSTALACIONES MECANICAS,_A,PRESENCIAL,T-7,INST-MEC,18:10,19:50,LU,PABLO RODOLFO ZUÑIGA RAMIREZ,SIN AUXILIAR,Sin restricciones
0520,PROCESOS DE MANUFACTURA 1,_A,PRESENCIAL,T-7,LAB-MEC,07:10,08:50,LU,LUIS EDUARDO CORONADO NOJ,SIN AUXILIAR,Sin restricciones
0522,PROCESOS DE MANUFACTURA 2,_A,PRESENCIAL,T-7,LAB-MEC,07:10,08:50,LU,CARLOS ENRIQUE CHICOL CABRERA,SIN AUXILIAR,Sin restricciones
0532,VIBRACIONES,_A,PRESENCIAL,T-3,407,13:10,14:50,LU,FREDY MAURICIO MONROY PERALTA,SIN AUXILIAR,Sin restricciones
0550,VIAS TERRESTRES 1,_A,SEMIPRESENCIAL,MEET,VIRTUAL,07:10,08:50,MI,JONATHAN ALEXANDER AJBAL CHEGUEN,SIN AUXILIAR,Sin restricciones
0969,TELECOMUNICACIONES Y REDES LOCALES,_A,PRESENCIAL,T-1,LAB-ELEC,08:00,13:00,SA,JOSÉ RODRIGO DE LEÓN VELÁSQUEZ,SIN AUXILIAR,Sin restricciones
0250,MECANICA DE FLUIDOS,_A,PRESENCIAL,T-3,211,10:40,12:20,MA,LUIS MANUEL SANDOVAL MENDOZA,SIN AUXILIAR,Sin restricciones
0799,SEMINARIO DE INVESTIGACION,_A,SEMIPRESENCIAL,MEET,VIRTUAL,14:50,15:40,LU,DIANA ORALIA SALGUERO ESPANA,SIN AUXILIAR,Sin restricciones
0001,ETICA PROFESIONAL,A,PRESENCIAL,T-3,404,12:20,13:10,LU  MI  VI,ROGELIO ALFREDO SALAZAR DE LEON,EUGENIO MIGUEL POLANCO SOTOJ,Sin restricciones
0005,TECNICAS DE ESTUDIO E INVESTIGACION,A,PRESENCIAL,S-12,301,10:40,11:30,MA  JU,EDUARDO MARTIN RIVERA PÉREZ,SIN AUXILIAR,Ver Restricciones
0008,IDIOMA TECNICO 2,A,PRESENCIAL,T-3,401,09:00,09:50,LU MA MI JU,SORAYA DEL ROSARIO MARTINEZ SUM,KARLA JUDITH MONZÓN BARRERA,Sin restricciones
0009,IDIOMA TECNICO 3,A,PRESENCIAL,S-12,304,09:00,09:50,LU MA MI JU,CARLOS LEONEL MUÑOZ LEMUS,SIN AUXILIAR,Sin restricciones
0011,IDIOMA TECNICO 4,A,PRESENCIAL,T-3,105,12:20,14:00,MA  JU,CARLOS LEONEL MUÑOZ LEMUS,SIN AUXILIAR,Sin restricciones
0017,AREA SOCIAL HUMANISTICA 1,A,PRESENCIAL,S-12,404,09:00,09:50,LU MA MI  VI,ANA VELA CASTRO MELLADO,SARA LUCÍA BATRES ECHEVERRIA,Ver Restricciones
0018,FILOSOFIA DE LA CIENCIA,A,PRESENCIAL,S-12,104,08:00,08:50,MA  JU,ROGELIO ALFREDO SALAZAR DE LEON,EUGENIO MIGUEL POLANCO SOTOJ,Sin restricciones
0019,AREA SOCIAL HUMANISTICA 2,A,PRESENCIAL,S-12,103,07:10,08:00,LU MA MI  VI,HILDA MYRIAM MÉNDEZ CASTILLO DE AVILA,EUGENIO MIGUEL POLANCO SOTOJ,Sin restricciones
0022,PSICOLOGIA INDUSTRIAL,A,SEMIPRESENCIAL,MEET,VIRTUAL,08:00,08:50,MA  JU,OTTO LEONEL SUÁREZ MOTA,YESSICA ROSMERY CHAMALE NIÑOS,Sin restricciones
0027,BIOLOGIA,A,PRESENCIAL,T-3,310,10:40,11:30,LU  MI  VI,PABLO ENRIQUE MORALES PANIAGUA,SIN AUXILIAR,Sin restricciones
0030,GEOGRAFIA,A,SEMIPRESENCIAL,HIBR,VIRTUAL,07:10,08:50,MA,ALAN GIOVANI COSILLO PINTO,GABRIELA ARACELY GARCIA ESTRADA,Sin restricciones
0069,AREA TECNICA COMPLEMENTARIA 1,A,PRESENCIAL,S-11,105-DIB,10:40,12:20,LU,JUAN ALBERTO ORTIZ ESTURBAN,CARLOS ALBERTO GODINEZ GUDIEL,Ver Restricciones
0074,DIBUJO CONSTRUCTIVO PARA INGENIERIA,A,PRESENCIAL,S-11,106-DIB,09:00,10:40,JU,ANDREA SUSANA LÓPEZ RAMÍREZ,SOFIA AIDALI VÁSQUEZ ALVARADO,Sin restricciones
0080,TOPOGRAFIA 1,A,PRESENCIAL,T-3,210,08:00,08:50,LU  MI  VI,NICOLAS DE JESUS GUZMAN SAENZ,SIN AUXILIAR,Sin restricciones
0082,TOPOGRAFIA 2,A,PRESENCIAL,T-3,210,07:10,08:00,LU  MI  VI,NICOLAS DE JESUS GUZMAN SAENZ,SIN AUXILIAR,Sin restricciones
0089,COMUNICACION ASERTIVA,A,PRESENCIAL,T-3,309,09:00,10:40,LU  MI,HERMAN IGOR VELIZ LINARES,KEVIN JOSUE SANTOS SALAZAR,Sin restricciones
0101,AREA MATEMATICA BASICA 1,A,PRESENCIAL,S-12,402,07:10,08:50,LU MA MI  VI,SHARONN PRYSCILA PU MORALES,JOSE DANIEL ELÍAS TEJAXUN SAY,Ver Restricciones
0103,AREA MATEMATICA BASICA 2,A,PRESENCIAL,T-3,109,07:10,08:50,LU MA MI  VI,GLENDA PATRICIA GARCIA SORIA,EDWIN JOSUÉ CASTILLO MENÉNDEZ,Sin restricciones
0107,AREA MATEMATICA INTERMEDIA 1,A,PRESENCIAL,T-3,105,09:00,10:40,LU MA MI  VI,ARTURO RODRIGO SAMAYOA DARDON,PEDRO PABLO GUZMAN MILIAN,Sin restricciones
0116,MATEMATICA APLICADA 3,A,PRESENCIAL,T-1,L-II-1,09:00,09:50,LU  MI  VI,EDER KEITH PAZ TIGUILA,EDGARD ABRAHAM GARCÍA CUTZ,Sin restricciones
0118,MATEMATICA APLICADA 1,A,PRESENCIAL,T-1,L-II-1,09:50,10:40,LU  MI  VI,ERICK GEOVANI AGUSTIN MARROQUIN,EDGARD ABRAHAM GARCÍA CUTZ,Sin restricciones
0123,MATEMATICA APLICADA 5,A,PRESENCIAL,T-3,309,07:10,08:00,LU  MI  VI,LUIS CARLOS BOLANOS MENDEZ,JOHAN ESTIVEN SABÁN LÓPEZ,Sin restricciones
0147,FISICA BASICA,A,PRESENCIAL,T-3,209,07:10,08:00,LU MA  JU VI,OSWALDO ROMEO ESCOBAR ALVAREZ,MICHELLE CAROLINA RIZZO LÓPEZ,Sin restricciones
0152,FISICA 2,A,PRESENCIAL,T-1,SA-VIRT,07:10,08:00,LU MA MI  VI,CARLOS ANTONIO CAJAS VIDAURRE,PEDRO PABLO MOLINA MARTÍNEZ,Sin restricciones
0154,FISICA 3,A,PRESENCIAL,T-1,SA-VIRT,09:00,09:50,LU  MI JU VI,WALTER GIOVANNI ALVAREZ MARROQUIN,JORGE PABLO ORTIZ SOTO,Sin restricciones
0170,MECANICA ANALITICA 1,A,PRESENCIAL,T-3,211,08:00,08:50,LU MA MI  VI,OSWALDO ROMEO ESCOBAR ALVAREZ,MICHELLE CAROLINA RIZZO LÓPEZ,Sin restricciones
0204,CIRCUITOS ELECTRICOS 1,A,PRESENCIAL,T-3,111,09:00,09:50,LU  MI  VI,INGRID SALOME RODRIGUEZ DE LOUKOTA,SIN AUXILIAR,Sin restricciones
0236,SISTEMAS DE CONTROL 1,A,PRESENCIAL,T-3,111,08:00,08:50,LU  MI  VI,INGRID SALOME RODRIGUEZ DE LOUKOTA,SIN AUXILIAR,Sin restricciones
0245,COMUNICACIONES 3,A,PRESENCIAL,T-7,102,19:00,19:50,LU  MI  VI,JULIO CESAR SOLARES PENATE,SIN AUXILIAR,Sin restricciones
0250,MECANICA DE FLUIDOS,A,SEMIPRESENCIAL,HIBR,VIRTUAL,07:10,08:00,LU  MI  VI,RAFAEL ENRIQUE MORALES OCHOA,SIN AUXILIAR,Sin restricciones
0283,ANALISIS Y DISE\O DE SISTEMAS 1,A,SEMIPRESENCIAL,HIBR,VIRTUAL,07:10,08:50,MA  JU,WILLIAM SAMUEL GUEVARA ORELLANA,BYRON ESTUARDO SOLIS GONZALEZ,Sin restricciones
0285,SISTEMAS OPERATIVOS 2,A,SEMIPRESENCIAL,MEET,VIRTUAL,09:00,10:40,MI,EDGAR RENE ORNELIS HOIL,JAVIER ALEJANDRO AVILA FLORES,Sin restricciones
0285,SISTEMAS OPERATIVOS 2,A,SEMIPRESENCIAL,MEET,VIRTUAL,07:10,08:50,LU,EDGAR RENE ORNELIS HOIL,JAVIER ALEJANDRO AVILA FLORES,Sin restricciones
0289,INTRODUCCION A LA INGENIERIA AMBIENTAL,A,PRESENCIAL,T-3,214,09:00,09:50,LU  MI,MARILYN CARIBEL ROJAS MALDONADO,SIN AUXILIAR,Sin restricciones
0300,RESISTENCIA DE MATERIALES 1,A,SEMIPRESENCIAL,HIBR,VIRTUAL,08:00,08:50,LU  MI  VI,YEFRY VALENTIN ROSALES JUAREZ,ANTHONY ANDREÉ POLANCO SCHODER,Sin restricciones
0302,RESISTENCIA DE MATERIALES 2,A,SEMIPRESENCIAL,HIBR,VIRTUAL,09:50,11:30,MA,HUGO LEONEL MONTENEGRO FRANCO,JHON GERARDO CUÁ XICAY,Sin restricciones
