CODIGO,NOMBRE,CREDITOS,SEMESTRE,CODIGO_PRERREQUISITO,TIPO
3022,Psicología Industrial (diplomado),0,1,090CR,OPCIONAL
3123,Matemática Aplicada 5 (diplomado),0,1,0112,OPCIONAL
3123,Matemática Aplicada 5 (diplomado),0,1,0114,OPCIONAL
0014,Economía,4,1,0732,OBLIGATORIO
0601,Investigación de Operaciones I,5,1,0732,OBLIGATORIO
0601,Investigación de Operaciones I,5,1,0771,OBLIGATORIO
0722,Teoría de Sistemas 1,5,1,0116,OBLIGATORIO
0722,Teoría de Sistemas 1,5,1,0118,OBLIGATORIO
0722,Teoría de Sistemas 1,5,1,0732,OBLIGATORIO
0722,Teoría de Sistemas 1,5,1,0772,OBLIGATORIO
0773,Manejo e Implementación de Archivos,4,1,0772,OBLIGATORIO
0773,Manejo e Implementación de Archivos,4,1,0796,OBLIGATORIO
0778,Arquitectura de Computadores y Ensambladores 1,5,1,0964,OBLIGATORIO
0778,Arquitectura de Computadores y Ensambladores 1,5,1,0796,OBLIGATORIO
0781,Organización de Lenguajes y Compiladores 2,5,1,0777,OBLIGATORIO
0781,Organización de Lenguajes y Compiladores 2,5,1,0772,OBLIGATORIO
0008,Idioma Técnico 2,2,1,0006,OPCIONAL
0120,Matemática Aplicada 2,6,1,0118,OPCIONAL
0122,Matemática Aplicada 4,4,1,0118,OPCIONAL
0200,Ingeniería Eléctrica 1,5,1,0114,OPCIONAL
0200,Ingeniería Eléctrica 1,5,1,0152,OPCIONAL
0335,Gestión de Desastres,3,1,0028,OPCIONAL
0652,Contabilidad 2,3,1,0650,OPCIONAL
0739,Didáctica de la Matemática,2,1,,OPCIONAL
3658,Administración de Personal (diplomado),0,1,3022,OPCIONAL
0281,Sistemas Operativos 1,5,1,0778,OBLIGATORIO
0281,Sistemas Operativos 1,5,1,0781,OBLIGATORIO
0603,Investigación de Operaciones II,5,1,0601,OBLIGATORIO
0724,Teoría de Sistemas 2,5,1,0722,OBLIGATORIO
0724,Teoría de Sistemas 2,5,1,0601,OBLIGATORIO
0724,Teoría de Sistemas 2,5,1,0736,OBLIGATORIO
0774,Sistemas de Bases de Datos 1,5,1,0773,OBLIGATORIO
0779,Arquitectura de Computadores y Ensambladores 2,4,1,0778,OBLIGATORIO
0970,Redes de Computadoras 1,4,1,0773,OBLIGATORIO
0970,Redes de Computadoras 1,4,1,0778,OBLIGATORIO
2036,Prácticas Intermedias,0,1,2025,OBLIGATORIO
2036,Prácticas Intermedias,0,1,0778,OBLIGATORIO
2036,Prácticas Intermedias,0,1,0777,OBLIGATORIO
2036,Prácticas Intermedias,0,1,0773,OBLIGATORIO
0009,Idioma Técnico 3,2,1,0008,OPCIONAL
0654,Contabilidad 3,3,1,0652,OPCIONAL
0734,Estadística 2,5,1,0732,OPCIONAL
3662,Legislación 1 (diplomado),0,1,90CR,OPCIONAL
0283,Análisis y Diseño de Sistemas 1,5,1,0774,OBLIGATORIO
0285,Sistemas Operativos 2,4,1,0281,OBLIGATORIO
0775,Sistemas de Bases de Datos 2,4,1,0281,OBLIGATORIO
0775,Sistemas de Bases de Datos 2,4,1,0774,OBLIGATORIO
0797,Seminario de Sistemas I,3,1,0170CR,OBLIGATORIO
0797,Seminario de Sistemas I,3,1,0724,OBLIGATORIO
0799,Seminario de Investigación,4,1,200CR,OBLIGATORIO
0975,Redes de Computadoras 2,4,1,0970,OBLIGATORIO
0011,Idioma Técnico 4,2,1,0009,OPCIONAL
0288,Introducción al Estudio de Impacto Ambiental,4,1,190CR,OPCIONAL
0700,Ingeniería Económica 1,5,1,0732,OPCIONAL
3664,Legislación 2 (diplomado),0,1,3662,OPCIONAL
0729,Modelación y Simulación 1,5,1,0603,OBLIGATORIO
0729,Modelación y Simulación 1,5,1,0724,OBLIGATORIO
0785,Análisis y Diseño de Sistemas 2,5,1,0283,OBLIGATORIO
0786,Sistemas Organizacionales y Gerenciales 1,4,1,0283,OBLIGATORIO
0786,Sistemas Organizacionales y Gerenciales 1,4,1,0722,OBLIGATORIO
0798,Seminario de Sistemas 2,3,1,0797,OBLIGATORIO
0798,Seminario de Sistemas 2,3,1,190CR,OBLIGATORIO
0972,Inteligencia Artificial 1,4,1,0781,OBLIGATORIO
0972,Inteligencia Artificial 1,4,1,0775,OBLIGATORIO
0972,Inteligencia Artificial 1,4,1,0724,OBLIGATORIO
7999,Seminario de Investigación E.P.S. Sistemas,4,1,225CR,OBLIGATORIO
0001,Ética Profesional,4,1,200CR,OPCIONAL
0702,Ingeniería Económica 2,4,1,0700,OPCIONAL
0738,Teoría Probabilistica de Decisiones,5,1,0736,OPCIONAL
0776,Bases de Datos Avanzadas,5,1,0775,OPCIONAL
0788,Sistemas Aplicados 1,5,1,0283,OPCIONAL
0790,Emprendedores de Negocios Informáticos,4,1,0786,OPCIONAL
0966,Seguridad y Auditoría de Redes de Computadoras,4,1,0975,OPCIONAL
0720,Modelación y Simulación 2,5,1,0729,OBLIGATORIO
0780,Software Avanzado,6,1,0785,OBLIGATORIO
0787,Sistemas Organizacionales y Gerenciales 2,4,1,0786,OBLIGATORIO
2009,Prácticas Finales Ingeniería Ciencias y Sistemas,0,1,2036,OBLIGATORIO
2009,Prácticas Finales Ingeniería Ciencias y Sistemas,0,1,200CR,OBLIGATORIO
0656,Administración de Empresas 1,5,1,150CR,OPCIONAL
0706,Preparación y Evaluación de Proyectos 1,4,1,0700,OPCIONAL
0706,Preparación y Evaluación de Proyectos 1,4,1,190CR,OPCIONAL
0710,Planeamiento,6,1,190CR,OPCIONAL
0735,Auditoría de Proyectos de Software,5,1,0785,OPCIONAL
0789,Sistemas Aplicados 2,5,1,0785,OPCIONAL
0789,Sistemas Aplicados 2,5,1,0788,OPCIONAL
0968,Inteligencia Artificial 2,4,1,0972,OPCIONAL
0974,Redes de Nueva Generación,4,1,0975,OPCIONAL
